f=721.050000, dc=830.380000, amp=0.150000, phase=-0.190000
f=721.200000, dc=830.450000, amp=0.130000, phase=-0.010000
f=721.350000, dc=830.470000, amp=0.100000, phase=-0.060000
f=721.650000, dc=830.410000, amp=0.130000, phase=-0.080000
f=721.800000, dc=830.300000, amp=0.150000, phase=0.200000
f=721.960000, dc=830.240000, amp=0.120000, phase=0.000000
f=722.260000, dc=830.430000, amp=0.130000, phase=0.200000
f=722.410000, dc=830.200000, amp=0.130000, phase=0.230000
f=722.560000, dc=830.340000, amp=0.140000, phase=0.030000
f=722.860000, dc=830.300000, amp=0.120000, phase=0.060000
f=723.010000, dc=830.230000, amp=0.130000, phase=0.060000
f=723.160000, dc=830.230000, amp=0.150000, phase=0.100000
f=723.470000, dc=830.240000, amp=0.150000, phase=0.150000
f=723.620000, dc=830.180000, amp=0.110000, phase=0.000000
f=723.770000, dc=830.180000, amp=0.140000, phase=0.280000
f=724.070000, dc=830.160000, amp=0.140000, phase=-0.030000
f=724.220000, dc=830.450000, amp=0.140000, phase=0.190000
f=724.380000, dc=830.410000, amp=0.160000, phase=0.040000
f=724.530000, dc=830.400000, amp=0.140000, phase=-0.110000
f=724.830000, dc=830.160000, amp=0.160000, phase=0.310000
f=724.980000, dc=830.280000, amp=0.130000, phase=-0.040000
f=725.140000, dc=830.100000, amp=0.130000, phase=0.190000
f=725.440000, dc=830.210000, amp=0.140000, phase=0.280000
f=725.590000, dc=830.040000, amp=0.140000, phase=0.230000
f=725.750000, dc=830.100000, amp=0.170000, phase=-0.010000
f=726.050000, dc=830.280000, amp=0.130000, phase=0.050000
f=726.200000, dc=830.190000, amp=0.150000, phase=0.120000
f=726.360000, dc=830.190000, amp=0.120000, phase=0.110000
f=726.660000, dc=830.260000, amp=0.130000, phase=0.330000
f=726.810000, dc=830.270000, amp=0.130000, phase=0.170000
f=726.970000, dc=830.080000, amp=0.140000, phase=0.350000
f=727.270000, dc=830.150000, amp=0.130000, phase=0.460000
f=727.430000, dc=830.230000, amp=0.130000, phase=0.430000
f=727.580000, dc=830.130000, amp=0.160000, phase=0.200000
f=727.730000, dc=830.260000, amp=0.160000, phase=0.270000
f=728.040000, dc=830.140000, amp=0.100000, phase=0.130000
f=728.190000, dc=830.190000, amp=0.190000, phase=0.070000
f=728.350000, dc=829.970000, amp=0.140000, phase=0.090000
f=728.650000, dc=829.910000, amp=0.140000, phase=0.370000
f=728.810000, dc=830.200000, amp=0.130000, phase=0.330000
f=728.960000, dc=830.240000, amp=0.130000, phase=0.460000
f=729.270000, dc=830.000000, amp=0.160000, phase=0.420000
f=729.420000, dc=830.160000, amp=0.160000, phase=0.370000
f=729.580000, dc=830.130000, amp=0.120000, phase=0.220000
f=729.730000, dc=829.970000, amp=0.110000, phase=0.370000
f=730.040000, dc=830.230000, amp=0.150000, phase=0.550000
f=730.150000, dc=830.160000, amp=0.120000, phase=0.270000
f=730.460000, dc=829.950000, amp=0.130000, phase=0.340000
f=730.610000, dc=830.310000, amp=0.140000, phase=0.180000
f=730.760000, dc=830.180000, amp=0.160000, phase=0.510000
f=731.070000, dc=829.970000, amp=0.130000, phase=0.320000
f=731.220000, dc=830.090000, amp=0.130000, phase=0.420000
f=731.370000, dc=830.030000, amp=0.180000, phase=0.600000
f=731.520000, dc=830.240000, amp=0.180000, phase=0.370000
f=731.830000, dc=829.990000, amp=0.150000, phase=0.310000
f=731.980000, dc=829.940000, amp=0.130000, phase=0.240000
f=732.140000, dc=830.220000, amp=0.180000, phase=0.300000
f=732.440000, dc=830.040000, amp=0.160000, phase=0.320000
f=732.590000, dc=830.000000, amp=0.150000, phase=0.470000
f=732.750000, dc=830.060000, amp=0.160000, phase=0.410000
f=733.050000, dc=830.130000, amp=0.150000, phase=0.400000
f=733.210000, dc=830.320000, amp=0.160000, phase=0.490000
f=733.360000, dc=830.230000, amp=0.180000, phase=0.440000
f=733.670000, dc=830.370000, amp=0.160000, phase=0.200000
f=733.820000, dc=830.290000, amp=0.150000, phase=0.330000
f=733.980000, dc=830.200000, amp=0.150000, phase=0.450000
f=734.130000, dc=830.320000, amp=0.160000, phase=0.450000
f=734.440000, dc=830.200000, amp=0.160000, phase=0.330000
f=734.590000, dc=830.160000, amp=0.150000, phase=0.320000
f=734.750000, dc=830.090000, amp=0.180000, phase=0.540000
f=735.050000, dc=830.180000, amp=0.160000, phase=0.700000
f=735.210000, dc=830.060000, amp=0.110000, phase=0.460000
f=735.360000, dc=830.130000, amp=0.140000, phase=0.350000
f=735.670000, dc=830.200000, amp=0.150000, phase=0.540000
f=735.830000, dc=830.070000, amp=0.150000, phase=0.600000
f=735.980000, dc=830.010000, amp=0.160000, phase=0.290000
f=736.130000, dc=830.020000, amp=0.140000, phase=0.400000
f=736.440000, dc=829.970000, amp=0.170000, phase=0.240000
f=736.600000, dc=830.140000, amp=0.150000, phase=0.710000
f=736.750000, dc=830.080000, amp=0.180000, phase=0.490000
f=737.060000, dc=830.090000, amp=0.150000, phase=0.700000
f=737.220000, dc=830.090000, amp=0.190000, phase=0.390000
f=737.370000, dc=829.900000, amp=0.150000, phase=0.430000
f=737.530000, dc=829.870000, amp=0.160000, phase=0.470000
f=737.840000, dc=829.970000, amp=0.140000, phase=0.480000
f=737.990000, dc=830.060000, amp=0.150000, phase=0.660000
f=738.150000, dc=830.050000, amp=0.160000, phase=0.470000
f=738.460000, dc=830.000000, amp=0.130000, phase=0.420000
f=738.620000, dc=829.960000, amp=0.170000, phase=0.590000
f=738.770000, dc=830.110000, amp=0.160000, phase=0.400000
f=738.930000, dc=829.940000, amp=0.170000, phase=0.560000
f=739.240000, dc=829.900000, amp=0.140000, phase=0.440000
f=739.400000, dc=830.020000, amp=0.140000, phase=0.640000
f=739.550000, dc=829.950000, amp=0.160000, phase=0.510000
f=739.860000, dc=829.830000, amp=0.150000, phase=0.350000
f=740.000000, dc=829.780000, amp=0.170000, phase=0.180000
f=740.150000, dc=829.810000, amp=0.150000, phase=0.500000
f=740.460000, dc=830.100000, amp=0.160000, phase=0.610000
f=740.620000, dc=829.860000, amp=0.150000, phase=0.380000
f=740.770000, dc=829.890000, amp=0.170000, phase=0.540000
f=740.930000, dc=829.790000, amp=0.170000, phase=0.590000
f=741.240000, dc=829.780000, amp=0.130000, phase=0.620000
f=741.390000, dc=829.830000, amp=0.150000, phase=0.660000
f=741.540000, dc=829.740000, amp=0.170000, phase=0.470000
f=741.850000, dc=829.940000, amp=0.160000, phase=0.800000
f=742.010000, dc=829.690000, amp=0.180000, phase=0.320000
f=742.160000, dc=829.550000, amp=0.150000, phase=0.520000
f=742.470000, dc=829.620000, amp=0.140000, phase=0.400000
f=742.630000, dc=829.750000, amp=0.160000, phase=0.650000
