Height (in)	Voltage (V)	Height errors	Voltage error
12.739	0	0.001	0.01
12.7	0.044	0.001	0.01
12.681	0.384	0.001	0.01
12.668	1.496	0.001	0.01
12.655	2.98	0.001	0.01
12.65	4.2	0.001	0.01
12.64	5.92	0.001	0.01
12.63	7.91	0.001	0.01
12.623	9.53	0.001	0.01
12.608	11.98	0.001	0.01
12.601	13.7	0.001	0.01
12.588	15.12	0.001	0.01
12.58	16.8	0.001	0.01
12.57	17.81	0.001	0.01
12.544	19.81	0.001	0.01
12.529	20.23	0.001	0.01
12.5	19.98	0.001	0.01
12.45	17.6	0.001	0.01
